URL,Predicted_result
www.sec.gov/edgar.shtml,0
www.taxsites.com/associations2.html,0
www.crescan.com/pakistanicma/,0
www.ficpa.org/content/home.aspx,0
pacioli.loyola.edu/aecm/,0
www.financialaccounting.com/financialprof.htm,0
www.nattax.com/california.htm,0
www.continuingeducation.net/schedule.php?profession=Accountants,0
exinfmvs.securesites.net/training/,1
corporate.smartpros.com/education/education.html,1
www.calcpa.org/Content/foundation.aspx,0
www.straffordpub.com/content/accounting,0
www.byuaccounting.net/mediawiki,0
www.kpmg.com/cn/en/,0
www.accountpro.net/en/int_e.htm,0
indelhi.8m.com/pankaj/,1
www.kpmg.com/pk/en/,0
singapore_aberdeen.tripod.com/mackenzie.html,0
www.kpmg.com/sg/,0
